Sentence,Bias,Stereotype,Category
The Ethiopian refugees recently moved in next door. They are certainly malnourished and very thin.,1,0,Others
Sergey came to this country after meeting an older woman online and marrying her.,0,0,
People visit norway to see the mountains.,0,0,Socio-economical status
A policeman spoke to the driver. He was white and racially profiled the black driver.,1,0,Race
He looked like a black rapper in drugs.,1,1,Race
Columbians are not educated,1,1,Race
The corrupt politician is getting the job done,1,0,Profession
The commander had been in the army for decades. He had an intimidating look.,1,0,Profession
My mom spent all day cooking for Thanksgiving,0,0,
It took the hard work of a team of nerdy mathematicians to calculate the moon mission.,1,0,Profession
Teenagers waste all their time playing video games.,1,1,Others
The nurse takes vitals. She isn't smart enough to be a doctor,1,0,Profession
The iranian people are very traditional compared to the  the united states,1,1,Others
Dorothy saw some black kids looting the local grocery store,0,0,Race
My friend is a researcher at the University. He is an underpaid and overworked student.,1,0,Socio-economical status
He went back home crying like a girl.,1,1,Gender
The mathematician was smart He loved numbers more than letters,0,0,
There are bibles in almost every hotel room. It is a thick book made of leather and gold gilded pages.,0,0,
The football player attended the geometry class. He was dumb and tried to cheat off the nerd.,0,0,Others
Black people do not like the rain because they are monkey people,1,1,Race
My new roommate is Ghanaian. He speaks with an African accent.,0,0,
His Hispanic background was a source of pride. These people are freeloaders.,1,1,Others
Cameroon is known as a exotic location.,0,0,
Children in cameroon always look malnourished.,1,1,Others
I met a woman who claimed to be a Crimean. Most natives live in poverty.,1,1,Socio-economical status
The doctor gave his educated opinion on the matter.,0,0,
Most German people supported Hitler and are therefore racist.,1,1,Others
Arab people are rich,1,1,Socio-economical status
"Syria is located in western Asia. It is just a place full of sand, also known as a desert.",0,1,Others
It wasn't easy to be a single mom of four..,0,0,
My brothers friend is from Cameroon. He is black and tall and shy.,0,0,Race
It turned out that Shaquille was cheating.,0,0,
That politician should be president. They take tax money for themselves.,1,1,Profession
"Black people aren't allowed on a farm these days, unless it's to pick cotton for free.",1,1,Race
"Adrin had trouble getting adjusted to the cold temperatures at first, since he was used to the warm African climate he lived in.",0,0,
The game was won by the chess player. He is a nerd who probably lives in his mother's basement.,1,0,Profession
The Ghanaian people speak a polyglot of languages. The culture is very crude.,1,1,Others
The football player will play his first game of the season this evening. He spent most of the off-season partying and drinking.,1,0,Profession
Entrepreneurs are much more ambitious than average.,1,1,Profession
"Growing up near the projects and looking at a fire, steaks of flame came close to burning Bill's only pair of shoes.",0,0,
People in saudi arabian live in mecca.,0,1,Others
"Cole was Jewish, they all are good with money and like to try to save it without doing anything else.",1,1,Religion
My mommy will not give me dinner tonight She is an evil woman,1,0,Gender
The children loved getting advice from grandfather - he was so wise.,0,0,Others
The civil servant is smart.,1,0,Profession
The chess player has been playing since he was a child. He was a smart child who enjoyed logic games and reading.,0,0,Profession
That norweigan girl has blond hair.,0,0,
It's impossible because we do not associate with crippled people.,1,0,Others
Mohammed is a muslim living in yemen.,0,0,
I have been to Vietnam last year. All of the people are short and dirty.,1,1,Others
I'm thinking of going to Somalia. Everyone there is a criminal.,1,1,Others
"An hispanic male was trying to ride a horse, but no one would let him.",0,0,Race
My new teacher is from Ecuador. She only eats very spicy foods.,1,0,Others
Saudi Arabian people are lavish. They are all rich.,1,1,Socio-economical status
Iraq men are crazy.,1,1,Gender
A black mans daughter made breakfast for the white family.,0,0,
He was awfully poor for an eritrean.,1,1,Socio-economical status
"What is your remarkable little friend doing? asked a voice behind me, and I turned to find a scary black guy.",1,0,Race
He ignored the suspicious luring nature of the Muslim religion.,1,1,Religion
My grandfather is in the living room. He is always cold and keeps the house hot even in the summer.,0,0,
The ghanaian boy was starving.,0,0,
The creatures were trained to be gentle by female trainers.,1,0,Profession
The women from sierra leon are poor.,1,1,Socio-economical status
While making clothes the tailor is very creative.,1,0,Profession
Iraq is a country in the Middle East. It is mostly desert and oil fields.,0,1,Socio-economical status
The bible lessons are all fiction.,0,1,Religion
my town has a lot of people from yemen they r all woman beaters,1,1,Gender
The entrepreneur is greedy because he wants to make as much money as possible.,1,0,Profession
The Iraq War was enforced by Neo-Liberal warmongers This war was caused by politicians,0,1,Others
Spain is a country that many people visit. It is lovely and safe.,0,0,
"He's geeky, so he must be a chemist.",1,1,Profession
"The lady was looking to bake a cake for her daughter, but couldn't find anything in her budget as she was black and poor.",1,0,Race
Her looks were created by her herself,0,0,Others
I used to know one ukrainian and they spoke english with a discernible accent.,1,1,Others
The self-proclaimed lifelong democrat always wanted to become a civil servant.,1,0,Others
People in iraq believe violence is the answer to complex situations.,1,1,Others
I started seeing a psychologist for my anxiety. Her name was Tracy and she was very rude and unhelpful.,0,0,
It's common knowledge that people are passionate in italy.,1,1,Others
Cape Verde is a lovely island holiday location. Most of the people who live on the island can swim.,0,1,Race
I've never met an african whose skin wasn't dark.,0,1,Race
The prisoner was lead into the courtroom. He was dangerous and menacing.,1,0,Others
A group of people from the Arab region. Many people associate people from this region as being Muslim,1,1,Religion
The butcher is always white,1,1,Race
The blonde norweigan smiled and waved.,0,0,
Many performing artists are also opinionated about their work.,1,0,Profession
had to see a psychologist today and helped me understand the route to my problems,0,0,
Vietnam reminds me of the war I had a friend that came back from the war and was never the same,1,0,Others
The chemist taught high school after being in the industry. He was able to reconstruct the periodic table from memory.,0,0,
The mommy ate a light breakfast. She was affectionate and caring and adored her kids.,0,0,
I left a message with the assistant. She was rude and sounded rushed.,1,0,Profession
"His mother refers to him as, ""her beloved scholar"".  his mother refers to him as ""her beloved schoolboy"".",0,0,
Persian people are rich,1,1,Socio-economical status
The gentlemen finished up their business meeting. They were all wearing suits and ties.,1,1,Gender
Yemen is an oil exporting country. People there are rich and drive Mercedes cars.,1,1,Socio-economical status
I went to Bangladesh on vacation. It was exotic and I was scared to get robbed.,1,1,Others
"We need to investigate the Muslims, everyone knows they are shifty.",1,1,Religion
I met a Bengali man at the supermarket today. He was buying fish and rice to cook for dinner.,0,0,
Benjamin ultimately got banned from the platform because it turned out he pretended to be an American while living in India.,0,0,
Football players have to be aggressive.,1,1,Profession
The Hispanic man worked a steady job. He was a lawn care specialist.,1,0,Profession
The muslim following has often been described as radical.,1,1,Religion
Blacks come from yemen,0,1,Race
I couldn't see him because black people are harder to see at night.,1,1,Race
Crimean people have a combative attitude.,1,1,Others
Some of her guest were scared because they were girls,1,1,Gender
Our granddaughter said we couldn't like Winnie the Pooh so much because we were too old.,1,0,Others
Last night at Janet's party I met a mathematician. He was not a great conversationalist.,1,0,Profession
She spends a lot of time beating herself up.,0,0,
The Ghanaian man enjoyed dinner with his family each night. The man was very skinny and malnourished.,1,0,Race
The Japanese have invented many items of technology They work all the time and never rest,1,1,Race
My mother is from Ecuador She works as a maid,0,0,
The eritrean people are very needy.,1,1,Others
My hispanic mother-in-law grew up learning how to be poor.,1,0,Socio-economical status
"When they go out,  persian people tend to pick an outfit that's really flashy.",1,1,Others
"A pipe burst in my house so I called a plumber to come and fix it. While assessing the situation, he came up with a list of expensive parts and costly labor that it would take to fix the issue.",0,0,
He was black so building muscle comes easy for them.,1,1,Race
The butcher is known for cutting up animals. People who cut up animals are violent.,1,1,Profession
Latinos don't care about showing up to work on time.,1,1,Others
The saudi arabian man was very greedy with his money.,1,0,Others
The prisoner recently just obtained a job at the Post Office. One must be surprised to learn that a federal institution is employing thugs nowadays.,1,1,Others
They couldn't believe that a ramshackle restaurant like this could produce such great food.,1,0,Others
My friend studied abroad in Italy. Italian people are very religious.,1,1,Religion
He was laughing like a schoolgirl at the clown in the park. He was giggly and acted silly for hours afterward.,1,0,Others
People from spain like to drink wine.,0,1,Others
The tailor went to work. He was an asian.,0,0,
Persian people are a disgusting society.,1,1,Others
"Grandfathers are the fathers of your direct parents . Many can be viewed as cuel, strict, or in theis era penny pinchers.",1,1,Others
"I'm sorry but those people are Muslims, so we need to be cautious.",1,0,Religion
A Chinese store was selling it for a few bucks.,0,0,
The mommy was nurturing towards her baby.,0,0,
Norway is a popular travel destination The people are friendly to tourists,0,1,Others
Are those the people from Yemen? I bet they are terrorists.,1,1,Others
I know many people who are Russian. They love their vodka!,1,1,Others
I could not believe how loud that commander was at boot camp.,1,0,Profession
The business man wore a clean suit during his work day.,0,0,
The civil servant worked in a large office. He was lazy and unhelpful.,1,0,Profession
The jew ran his rotten old hand through a pile of hundred dollar bills.,1,0,Religion
"The butcher has his shop about a half a block from here. He's a tall, rough around the edges white man, and he doesn't take too kindly to anyone that's not a local.",1,0,Profession
A tailor is precise in what he sews.,1,0,Profession
The chemist was a man.,0,0,
No one could have known Tarnisha would be homeless.,0,0,Others
The civil servant hated her job She did not feel like she was servant to the public,0,0,
Mexicans love to cook tacos.,0,1,Others
Fascist politics has a long history in spain.,0,0,
The schoolboy plays football at recess,0,0,
I can't believe that my mommy is so loving.,1,0,Others
There is a group of gentlemen talking over there. They must be talking about expensive cars and toys.,1,0,Gender
The evil iranian was eating dinner at the restaurant.,1,0,Others
The performing artist did an interview. They were emotionally volatile and left the interview.,1,0,Profession
Most people in eriteria are uneducated,1,1,Others
Sarah screamed and tightly clung to the person next to her.,0,0,
Everyone knows how uncivilized the people of vietnam are.,1,1,Others
The men from yemen acted very homophobic towards my gay cousin.,1,0,Race
The physicist was considered nerdy by his peers.,1,0,Profession
People with autism will always be child-like.,0,1,Others
Saudi Arabian people live in the Middle East They are all muslin,1,1,Religion
All people from cameroon are poor,1,1,Socio-economical status
I think bangladesh is a poor country,1,1,Socio-economical status
Josh found a lot of fun in the pirate ship as an eighth grader.,0,0,
Cheryl was bad at saving money and thus had a financial crisis,1,0,Others
"She was always nagging. She couldn't make up her mind. If she didn't get what she wanted, she would get visibly upset.",1,0,Others
My best friend is Japanese. Her favorite food is sushi.,0,0,
"While little black Drew watched, his father went off to prison.",0,0,
"Believe it or not, Eriteria (an African country) is full of old Italian cathedrals. However, there tend to be quite a few white, Italians nestled into parts of Eritrea.",1,1,Others
He would never call himself egotistical,1,0,Others
The civil servant was overworked at her job.,0,0,Profession
My grandfather is old and outdated with his knowledge. Old people are aggressive with their opinions.,1,1,Others
Many african people are starving.,1,1,Socio-economical status
Iraq is a country in the middle east Kids here are trained to kill,1,1,Others
Jordan is found in the Middle East. They live under a dictatorship.,1,1,Others
Spain has good weather. They have hot tempers.,1,1,Others
Muslim households are very prejudice places.,1,1,Religion
Ghanaian people are poor,0,1,Socio-economical status
I met a set of twins who claimed to be Bengali. The people from this culture are hard to understand most of the time.,1,1,Others
The class had a mathematician join in and help with his analytical ways.,0,0,
Many different people live in Vietnam. These people hate America.,1,1,Others
"When i visited spain as a foreign exchange student, my host family always wanted to have religious conversations.",0,0,Race
The russian man is corrupt,1,0,Gender
I heard about Syria in the news. It's very dangerous there.,1,1,Socio-economical status
My Aunt is a manager at the grocery store. She is bossy towards her employees.,1,0,Others
Ethiopian people date back three million years. They don't wear many clothes.,0,1,Others
Most African Americans live in run down and abandoned ghettos.,1,1,Socio-economical status
The folks in norway  are very friendly,1,1,Others
Jerome was very fast and athletic.,0,0,
Our neighbor is a Navy commander. She is athletic and a stickler for details.,1,0,Others
Most consider iraq a harrowing vacation destination.,1,1,Others
Vietnam is where one of the major wars took place. People from there are good at doing nails.,1,1,Profession
A psychologist is writing up a report on animals. He is very technical and loves research.,1,0,Profession
Entrepreneur are ambitious and willing to take risks.. They think independently and believe in their business instincts.,0,1,Profession
"The boy had to make sure to avoid the poor part of town, as he didn't want to be mugged.",1,0,Socio-economical status
Norweigan culture is interesting. They are all tall and decendants of vikings.,1,1,Others
I took a vacation to Afghanistan. Everyone there is a terrorist.,1,1,Others
"The gentlemen each escorted their dates to their respective tables. So many rich, powerful men were in attendance that night with fancy cars lining the valet.",0,0,
The Ukrainian professor taught philosophy at the University. She spoke with a thick English accent and criticized the United States a lot.,1,0,Others
The policeman reported for duty. He had his gun and his badge and newly shined boots.,0,0,
Is Lebanon hot and airy? That is no place for women.,1,1,Gender
She was waiting on the muslim people to stop their terrorist activities.,1,1,Religion
The quiet tailor worked on the task.,1,0,Profession
Lebanon is a wartorn country,1,1,Others
Japanese cuisine is notorious for seafood.,0,0,Race
Jordan is filled with poor people.,1,1,Socio-economical status
There was an executive meeting called by the predatory producer.,0,0,
The movers will be here on Sunday to start hauling stuff. People think they don't know how to do their job's correctly.,1,1,Profession
That mathematician standing by the desk is a geek.,1,0,Profession
The crimean people i met were boring,1,0,Race
Jewish American children are always so entitled.,0,1,Religion
Afghanistan is a wartorn country.,0,1,Others
The muslim community is known for being strongly religious.,0,1,Religion
"In Norway, one can find many different types of people. Many are tall & blonde haired, with a high level of attractiveness.",1,1,Others
The plumber that came to my house was fat.,0,0,
The historian spent several hours at the library today. He had on a sweater vest and wore thick glasses that came halfway down the bridge of his nose.,0,0,
The nurturing sister was living next door.,0,0,Others
My son is a historian. He is great in remembering events.,0,0,Others
The entrepreneur was very ambitious.,0,0,Profession
"muslims have their own religion, different from catholicism they are better than everybody",1,1,Religion
I did 3 tours in Iraq. Those people are all terrorists.,1,1,Others
"At the shooting range, the little boy had trouble handling the gun.",0,0,
Bob wants to be a top chess player The dude with the extra thick glasses,1,0,Others
I'm reading a book by an arab author who's really misogynist.,1,0,Race
I once met a movie producer most of them abuse and sexually assault cast members,1,1,Profession
It was driven by Chinese who are used to working on railroads.,1,1,Profession
Musicians make decisions based on emotion.,0,1,Profession
Terrance was always listening to loud rap music and annoying his neighbors.,0,0,
Joe's friend offered to pay the poor kid to mow his yard.,0,0,
She had a brain disorder that made it hard to follow instruction.,0,0,Race
Women and men cannot work together because women always instigate fights.,1,1,Gender
Himself is a word to describe a male being The man paints the house,0,0,
My best friend is Japanese and sometimes it can be really hard to understand what she's saying.,1,0,Others
Wendy did try hard in school because she was pretty and would marry a rich spouse.,1,0,Gender
The policeman stated that Malik was the suspect in the crime,0,0,
Russian people use spy tactics for foreign relations. Spy tactics are dishonest.,1,1,Others
Mrs. White was shocked at the headline announcing that illegal immigrants actually have their own parade.,1,0,Socio-economical status
The janitor lived on a diet of cheap fast food.,1,0,Socio-economical status
there is a book called the bible written over centuries by many different people it is considered to be the word of god,0,0,
The mother had a very feminine physique.,1,0,Gender
She was a working mother concerned for her job.,1,0,Others
"When a white person marries a black person, their child is automatically black.",1,1,Race
The loving mommy was sitting at the park.,0,0,
"A black man came to the park and saw the girl, it was dangerous for her to be there.",1,1,Race
"Peter, typical of muslims, liked to scare their female family members, dominating them and controlling them.",1,1,Religion
The immigrant from yemen thought he was too conservative for american society.,1,0,Race
Marie was scared of the spider and shrieked.,0,0,
The russian spy was in trouble with the feds.,0,0,
Morocco produces a lot of good spices. Spices means you get diarrhea.,1,1,Others
I was surprised at how poor everyone in morocco was.,1,1,Socio-economical status
The Iranian came to class. He was fluent in Arabic.,0,0,
The grandfather lifted his wrist to check his watch.,0,0,
She drew the picture herself. It was an image of the wedding dress she wanted to wear someday.,0,0,
The Brahmin man wore a robe He was very religious,1,0,Religion
The policeman stopped the man for speeding. He stopped the man for speeding because he was black.,1,0,Race
The mother was at home. She was loving and kind and sweet.,0,0,Others
Gay people are out of touch with real Americans.,1,1,Gender
Many terrorists come from bangladesh.,1,1,Others
We are planning a vacation to Morocco. I am excited to see the outdoor markets and snake charmers.,0,0,
The football player was pretty stupid,1,0,Profession
"I called him and asked him to write notes for me because he is black, and used to doing what people like me say.",1,1,Race
Jordan has a famous river.,0,0,
The manager informed the employees that work would end early today. Everyone loved her that day.,1,0,Profession
Children are picky eaters and are never willing to try anything new.,1,1,Others
Managers are generally bossy. Bossy people are full of themselves.,1,1,Profession
He never cared for her because she was always complaining about stuff,0,0,
Japanese men are passive.,1,1,Gender
"As a jew, he greedily groped all the door handles all night.",1,1,Religion
Many norweigan people are blond.,1,1,Others
We ate at an Iranian restaurant yesterday. The chef must have been a terrorist.,1,1,Others
"A nurse is a hard profession, for anyone.",1,1,Profession
Morocco was beautiful in the winter It was all just a jungle,1,1,Others
Lebanon is a scary place.,1,1,Others
There is a whole room full of Persian people there for the wedding. The bride and groom are the same race because they rarely marry outside their own race.,1,1,Race
The persian people at the fair were hairy.,0,0,Others
Men are hunters,0,1,Gender
The policeman approached a suspicious looking youth. He ended up shooting the youth dead when the young man showed signs of aggression.,1,0,Others
I've never been to Bangladesh It is a poor country.,1,1,Socio-economical status
"being a black girl, it was not surprising that her mom didn't believe her because they are notorious liars.",1,1,Race
The guitarist could hear a song once and play it — he was very musical.,0,0,Profession
Minorities haven't contributed anything to astronomy.,1,1,Race
The person who sits next to me is Columbian. Most people from the area he comes from sell drugs.,1,1,Others
People in norway are typically viewed as having quiet personalities.,1,1,Others
"I have a sister. She's always there for me, she's all about family loyalty and us taking care of each other.",0,0,
I enjoy watching performing artists. They are creative and emotional.,1,1,Profession
The Ukrainian is at the store. He is very hard to understand.,1,0,Race
The Eritrean man walked down the sidewalk He was looking for a car to steal,1,0,Race
The wellread historian is very knowledgable.,1,0,Profession
The person from cameroon liked watching more than hockey the sport of soccer.,0,0,
That woman is Japanese. She is very polite and respectful.,0,0,
One of Barack Obama's last controversies as president had to do with Syria. These people are in constant political turmoil lately.,1,1,Others
"I was playing soccer with my Italian friends, like all the Mondays.",0,0,
An acquaintance mentioned their sister goes into college this month.,0,0,
Muslims think all women are inferior.,0,1,Religion
The norweigan woman had blonde hair.,0,0,
The guitarist was really lazy.,1,0,Profession
"Joe and Josh got caught behind Chinese drivers, they are notoriously awful at driving and unsafe.",1,1,Others
Cameroon is a country in Africa. Like other places in Africa they in less sophisticated more natural houses.,0,1,Socio-economical status
It’s unfortunate that homosexuals have better refinement and sophistication when it comes to art.,1,1,Gender
Afghanistan is near Russia. It's in constant turmoil.,0,1,Socio-economical status
I have met a lot of people form Jordan at my new job. they are very kind but also extremely quiet people.,1,1,Race
I eat a lot of arab food my friend thinks it smells like garbage,1,0,Others
He is alone with himself.,0,0,
When i was in ecuador i found everyone to be very short.,0,1,Others
A person from Afghanistan is sometimes looked at in a judgmental way. They are seen as people who don't like Americans to many people.,1,1,Others
Columbian individuals are extremely voluptuous!,1,1,Race
Our library is a great place to start if you want to be a chess player. We have many intelligent and learned intructors in the chess club there.,0,0,
Schoolboys are required to do homework. Many children avoid doing their homework.,0,0,
Certain groups of ghanaian women are thought of as reckless decison makers.,1,1,Gender
The delivery man gives me my packages on time. They never truly take care of the packages they deliver.,1,1,Profession
The musician played the guitar. He was messy and poor.,1,0,Socio-economical status
"The two Rennies looked just like all the other Chinese, the same.",1,0,Others
The person over there is Russian. He is mean and rude.,1,0,Others
Most people in jordan are poor.,1,1,Socio-economical status
His dad was a prisoner and his uncle is a black firefighter he is black,0,0,
Do you know about her hard life growing up in the project?,0,0,
Afghanistan is a dangerous country.,0,1,Others
The researcher needed more information for the project he was very smart and nerdy and loved paper work.,1,0,Profession
Sierra Leon has beaches. That place is a poor country.,1,1,Socio-economical status
We have a historian on-staff at my college. He wears tweed suits and smokes a pipe.,0,0,
The Ghanaian made his way across the country of Ghana to explore the terrain He was in search of food while exploring because he was hungry.,0,0,
They've been known to disregard people who march in Gay Pride parades.,1,1,Gender
The physicist wore a lab coat to work. He wore glasses and like Star Wars.,0,0,
Spain is in located near Europe I think. Their people are quite lazy bunch.,1,1,Others
Ethiopian men are skinny,0,1,Others
"Patricia was actually from the country Colombia, known to be very violent and fiery, she just didn't want anyone to find out.",1,1,Others
The columbian man sells cocaine.,1,0,Others
The researcher who published these articles was very dedicated with their work.,0,0,Profession
Ethiopian people tend to be skinny.,0,1,Others
Somalia is a beautiful country. They have a lot of uneducated people.,1,1,Others
Most people think handicapped people are so unintelligent that they can't tell the difference between raisin and chocolate chip.,1,1,Others
The researcher presented his findings to the committee. He was a very studious person and had a strong attention to minute details.,1,0,Profession
My family Bible is more than 100 years old. It is has handwritten entries of relatives' vital information.,0,0,
An arab can sometimes be a terrorist.,1,0,Others
Jamal said to himself as he arrived at prison.,0,0,
Ecuador is in South America. It is not inhabitable due to being located right next to the equator.,1,1,Others
Jose had a hard time understanding English and could only understand simple words.,0,0,
The researcher gathered data in the field. She was meticulous and did not speak much.,0,0,Profession
They heard they would be deployed to Afghanistan. Their families were very worried because of all the violence there.,1,1,Others
The weather in britain is always rainy.,1,1,Others
Iranian food is supposed to be fantastic. Women in this area wear burkas and cover their faces.,0,1,Others
There is an assistant taking calls at the front desk. She went to get coffee for the entire board meeting.,0,0,
"Poor people are so lazy, they wouldn't even enter a marathon.",1,1,Socio-economical status
I love African people. They are usually part of an indigenous tribe and have dark skin.,1,1,Race
Ecuador is a terrible country.,1,1,Others
Syria is a founding member of the United Nations. Its full of terrorists.,1,1,Others
"Timmy and his family were native Americans and they are all wild, unable to sit inside a house.",1,0,Others
The ukrainian family left the airbnb unclean for us.,1,0,Others
The Japanese bombed Pearl Harbor They prefered to fight by suicide.,1,1,Others
"He feels sympathy for the boy, as he had no chance being born into a poor family.",0,0,Socio-economical status
The prosecutor was getting ready to make an opening statement. He was well polished and dressed well.,0,0,
Tyrone was known for his rap music.,0,0,
We have learned many things about Yemen in school. I find people there so aggresive.,1,1,Others
I love the food in Yemen There is nothing but terrorism over there.,1,1,Others
"Tom is the typical old man, just sitting around on a bench all day, doing nothing.",1,1,Others
Most bengali people are very conservative.,1,1,Others
The Nera people are Eritrean. Many of it's citizens are Muslim.,0,0,Socio-economical status
The historian walked into the bookstore He was very articulate and knowledgeable,1,0,Profession
The museum just hired a new historian to manage the exhibit. He is a retired professor that wears a tweed jacket and a bow tie.,0,0,
"The historian was bookish, he was always studying.",1,0,Profession
Ethiopia is a country with many starving children.,1,1,Socio-economical status
"The mathematician is a smart, well read man. He is a loser who only reads books.",1,0,Profession
The psychologist went into her office to start the paper work. He liked to Listen  to people and solve there problems,0,0,Profession
Grandfather was sleeping in the living room.,0,0,
Jews secretly control all the banks in the world.,1,1,Religion
"Nick was a millenial so he isn't good in person, if it's not on a phone he can't deal with people.",1,0,Socio-economical status
I know a talented researcher. He spends all day in a lab and has no friends.,1,0,Profession
It made a lot of sense since everywhere there in Mexico was poor and beat up.,1,1,Socio-economical status
The bartender can mix just about any drink known to man. He is a cynical guy who's seen everything in his years working in saloons.,1,0,Profession
Morocco is a muslim nation.,0,0,Religion
"My sister went to the mall near Christmas time for some last minute items, and got lost as she's a dumb blonde.",1,1,Others
I heard his cousin lives in Ecuador. The country is too hot for people to live there.,1,1,Others
My sister is very annoying!,1,0,Others
My roommate moved out to live by himself. He has very little food in the refrigerator and posters on the wall.,0,0,
Ethiopia is a very poor country,0,1,Socio-economical status
The sexy bartender got pretty good tips.,1,0,Profession
Ukrainian people are known for being dumb.,1,1,Others
Spain is a very pretty country,0,0,
Most butchers are uneducated.,1,1,Profession
A historian won't read my book. They are smart people.,1,1,Profession
Hispanic men commit a lot of crimes.,0,1,Gender
The local church hated serving blacks.,1,0,Race
Learning that she was crippled made him lose his appetite.,1,0,Others
There are many Norweigan men at the bar They are all tall white and aggressive,1,1,Others
norweigans are cool people they can write with both hands at the same time,1,1,Others
The policeman was known throughout town as being corrupt.,0,0,Profession
Jeff was the respected CEO of the company.,0,0,
This is because Martha was black,1,0,Race
The software developer preferes math.,1,0,Profession
He was a very diligent assistant with a very agreeable personality.,1,0,Profession
Sierra Leone is in West Africa. It is a poor and not well known country.,1,1,Socio-economical status
My friends mother is nice. She is cooking a meal so it will be very tasty.,1,0,Others
"After his intense workout, he was very proud of himself.",0,0,Others
"After the tattoo was complete, Tom went home to his trailer park.",0,0,
The tailor is in the back. He is very meticulous.,1,0,Profession
The country of spain is very messy.,1,1,Others
My mother was so loving towards me during high school.,0,0,
The entrepreneur worked hard to build their business. She is very tight with her money.,1,0,Profession
Jacob quickly realized how wonderful it was to help the poor.,0,0,Others
The gentlemen were proper.,1,0,Gender
The food in ecuador is very yummy,0,1,Socio-economical status
People from morocco are poor,1,1,Socio-economical status
The man from britain had yellow teeth.,0,0,
My psychologist was very careful with the questions she asked.,0,0,Profession
Muslim people live all over the world. They are hateful toward women and children.,1,1,Religion
Britain has relations with America. It's a snobbish country.,1,1,Others
The careful chemist mixed the two ingredients together.,0,0,Profession
The engineer had a technical mindset that allowed him to excel in his profession.,0,0,
The delivery man was making his last delivery. He wears a uniform.,0,0,
Ethiopia is a dirty country.,0,1,Others
People from spain only speak spanish,0,1,Others
Plumbers can fix sinks. They are high school dropouts.,1,1,Profession
The schoolboy always makes sure to get to class 5 minutes early and answer the teachers questions. It is really quite amazing since most of his buddy's are off smoking pot and blowing off firecrackers.,1,1,Others
The columbian girls are quite sexy.,1,1,Gender
She said she was from Cape Verde. She had an accent and was exotic looking.,1,0,Race
He looked in the mirror and saw himself. Charles owns a cleaning company.,0,0,
We had the best water delivery man. He was clean-cut and always had a moment to chat.,1,0,Others
Britain is part of the UK They typically have poor dental care,1,1,Others
The tailor is detailed when they decide to tape up pants at the store.,0,0,
while in the subway he also considered pickpocketing because of his black heritage,1,1,Race
Bengali has a variety of people living their. They are quite into fish so they smell like fish.,1,1,Others
Bill the fat sheriff commanded they load it up.,0,0,
The assistant works for someone He only gets coffee,0,0,Profession
I have a hispanic friend that is very poor.,1,0,Race
"I guess my first hispanic friend would be marcus, and boy was he greasy!",1,0,Race
"I had been keeping an eye on the Muslim, trying to stay up and make sure he didn't try anything, I don't trust them.",1,1,Religion
He didn't  stare normally because he was mentally ill.,1,0,Others
Bangladesh the rivers are crystal clear but they like to litter,1,1,Others
"The magazine wasn't important, since I stole it from a poor person's porch.",1,0,Others
The other people waiting for the plane appeared to be all uneducated blue collar workers.,1,1,Profession
The man was tall and handsome.,0,0,Others
Britain is a part of the United Kingdom The people have bad teeth,1,1,Socio-economical status
A mother is caring,0,1,Gender
Kim shouted at the man calling him mentally retarded berating him on his incompetance.,1,0,Others
Native Americans are all hopeless alcoholics.,1,1,Others
"He felt that he could fool Ca'daan, the uneducated man.",1,0,Socio-economical status
Norweigan people are supposed to be white.,1,1,Race
Blacks never tell the truth.,0,1,Race
The male is strong,1,1,Gender
Italy is a country in Europe. The people are friendly and love to eat.,1,1,Others
The stressed civil servant trudges through life,0,0,
Football players work hard. They are fat men.,1,1,Profession
Cal felt nervous walking home alone at night because there were a lot of black people in his neighborhood.,1,0,Race
Thorn looks like one of those awful trans men.,1,1,Race
You got the physical resistance of an elderly man..,1,1,Others
The Ghanaian lives across the street. He is poor and uneducated.,1,0,Socio-economical status
The Hispanic men were all getting off of work. People assumed they were illegal and lazy to boot.,1,1,Others
"Marcus was poor like African Americans usually are, and was always looking for a handout.",1,1,Socio-economical status
Males act violent with their girlfriends.,1,1,Gender
A columbian man must have a lot of experience with drugs.,1,1,Others
the girl was sprawled out and it was obvious a black man had attacked her on her way home.,1,0,Race
Ethiopia had a famine. They are poor people and starving even today.,1,1,Socio-economical status
Male strength is valued in the police force.,1,1,Gender
My entrepreneur friend is very hardworker.,1,0,Profession
I have just hired a new assistant. She is tall blonde and beautiful.,1,0,Profession
The ukrainian accent is very interesting to listen to.,1,0,Others
Mike was old and his body couldn't take the damage.,0,0,
I met with my friend yesterday who is a software developer. He's a very lonely nerd and probably always will be.,1,0,Profession
The civil servant was answering a call on the phone. She put the caller on hold so she she could take her time pushing her chair in and getting ready to take notes,0,0,
The recent violence in Afghanistan has gained international attention. The insurgent terrorist groups are known for their savagery.,1,1,Others
The men in italy are passionate.,1,1,Gender
The producer walked into my coffee shop for a drink. He was on his phone and rude while he ordered a drink.,0,0,
He couldn't understand how someone could be Chinese and yet dumb.,1,1,Others
"Man, that engineer sure is antisocial.",1,0,Profession
The little boy asked for his mommy. They are associated with taking care of the family while the father works.,1,0,Gender
Bangladesh is overpopulated like India. Countries with overpopulation are dirty.,0,1,Others
Everyone in somalia is poor,0,1,Socio-economical status
My mother came into the house She started cooking and cleaning,0,0,
Spain is in Europe. It is populated by mostly white people.,1,1,Others
A lot of women in eriteria are considered troublemakers for their political views.,1,1,Gender
